date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,estimated_source_type
20210115,08:14:53,17.46,78.46,21,9,Landfill/Urban
20210115,08:15:37,19.13,73.02,64,23,Gas
20210115,08:19:40,33.99,71.63,18,6,Landfill/Urban
20210115,08:19:42,34.13,72.07,19,8,Landfill/Urban
20210115,09:56:22,15.6,45.77,6,4,Oil
20210115,20:09:17,31.6,-101.86,62,24,Oil
20210116,07:57:47,22.32,73.34,32,22,Oil
20210116,07:58:26,26.55,80.24,38,17,Landfill/Urban
20210116,07:59:06,28.58,77.38,72,27,Landfill/Urban
20210116,08:00:47,33.63,73.05,35,13,Landfill/Urban
20210116,08:00:59,34.03,71.61,21,9,Landfill/Urban
20210116,08:02:47,40.86,71.98,28,20,Gas
20210116,09:42:29,35.43,51.48,60,24,Gas
20210116,19:49:27,28.66,-98.29,8,5,Oil
20210116,21:33:06,36.43,-119.64,20,9,Landfill/Urban
20210117,07:38:18,23.29,90.14,79,41,Landfill/Urban
20210117,09:20:16,24.95,67.12,77,23,Landfill/Urban
20210117,12:39:38,11.99,13.46,56,18,Unclassified
20210117,12:45:28,31.79,5.96,11,5,Gas
20210117,19:30:51,29.14,-97.44,16,10,Oil
20210117,19:32:04,31.86,-101.86,24,13,Oil
20210117,21:14:08,36.29,-119.74,24,8,Landfill/Urban
20210117,21:14:36,37.49,-120.7,43,16,Landfill/Urban
20210118,03:40:51,-32.44,151.01,34,25,Coal
20210118,05:40:53,33.76,113.45,19,6,Coal
20210118,05:41:27,35.64,112.35,70,24,Coal
20210118,05:41:35,35.0,108.04,15,7,Coal
20210118,05:41:32,36.19,112.96,51,24,Coal
20210118,05:41:46,36.31,107.77,24,9,Oil
20210118,05:41:42,35.86,109.07,16,6,Coal
20210118,05:41:52,36.63,109.91,28,12,Coal
20210118,05:42:00,37.35,110.92,52,19,Coal
20210118,09:00:42,23.03,72.8,35,16,Oil
20210118,09:04:46,36.88,62.02,42,18,Gas
20210118,09:04:59,37.43,60.57,13,5,Gas
20210118,09:05:00,38.09,62.71,68,25,Gas
20210118,09:05:43,40.0,60.94,41,16,Gas
20210118,20:55:09,35.71,-119.59,20,45,Oil
20210118,20:55:25,36.26,-119.69,127,40,Landfill/Urban
20210119,05:22:43,35.68,112.47,71,26,Coal
20210119,05:23:08,37.58,113.68,48,21,Coal
20210119,05:23:11,36.57,109.64,39,14,Oil
20210119,05:23:20,37.34,111.0,115,45,Coal
20210119,05:23:16,37.89,113.41,40,13,Coal
20210119,05:23:37,38.71,110.89,32,11,Coal
20210119,08:41:54,23.35,72.34,43,18,Oil
20210119,08:44:10,31.58,73.1,34,14,Landfill/Urban
20210119,08:44:10,31.46,74.36,51,16,Landfill/Urban
20210119,08:44:49,34.03,71.51,30,13,Landfill/Urban
20210119,08:45:59,36.08,59.65,47,17,Landfill/Urban
20210119,08:46:23,38.17,61.4,323,189,Gas
20210119,08:46:59,38.13,54.81,14,12,Oil
20210119,10:21:11,15.42,45.96,6,3,Oil
20210120,06:41:17,21.67,94.69,14,10,Landfill/Urban
20210120,08:21:39,18.56,74.03,3,2,Landfill/Urban
20210120,08:22:40,22.18,73.01,11,6,Oil
20210120,08:23:06,23.43,72.11,13,9,Oil
20210120,08:23:24,25.77,82.02,114,46,Landfill/Urban
20210120,08:23:52,24.94,66.81,53,20,Landfill/Urban
20210120,08:25:10,31.47,74.39,74,31,Landfill/Urban
20210120,08:25:55,33.98,71.57,47,17,Landfill/Urban
20210120,08:28:17,39.97,59.96,62,24,Oil
20210120,18:15:06,-35.33,-58.9,32,16,Landfill/Urban
20210120,18:15:13,-34.53,-58.68,56,22,Landfill/Urban
20210121,08:02:18,17.43,78.72,8,4,Landfill/Urban
20210121,08:03:06,18.94,72.96,36,14,Gas
20210121,08:03:14,19.29,72.87,41,15,Gas
20210121,08:04:04,22.24,73.13,12,8,Oil
20210121,08:03:49,23.8,87.13,57,28,Coal
20210121,08:05:17,24.92,67.36,147,56,Landfill/Urban
20210121,08:06:20,31.54,74.34,96,43,Landfill/Urban
20210121,08:06:30,32.02,73.71,36,14,Landfill/Urban
20210121,11:28:55,28.96,20.45,41,13,Oil
20210121,13:10:40,31.67,5.79,15,10,Gas
20210121,17:56:16,-34.74,-59.09,73,28,Landfill/Urban
20210122,07:44:39,22.91,90.27,26,9,Landfill/Urban
20210122,07:44:49,23.85,90.25,64,33,Landfill/Urban
20210122,07:46:17,27.26,77.68,33,14,Landfill/Urban
20210122,07:46:48,28.71,77.05,79,27,Landfill/Urban
20210122,12:51:08,29.54,6.7,6,2,Gas
20210122,12:51:48,32.3,6.84,103,38,Gas
20210122,17:37:30,-34.54,-58.64,56,21,Landfill/Urban
20210122,19:38:13,32.25,-101.71,15,9,Oil
20210123,05:44:16,23.21,113.47,14,6,Landfill/Urban
20210123,05:47:47,35.63,112.52,48,15,Coal
20210123,05:48:06,36.55,109.74,27,10,Coal
20210123,05:48:08,36.85,111.73,108,36,Coal
20210123,05:48:22,37.7,110.86,46,15,Coal
20210123,07:25:22,20.95,85.23,6,3,Coal
20210123,07:25:45,23.55,90.68,134,40,Landfill/Urban
20210123,07:25:53,23.81,90.36,46,14,Landfill/Urban
20210123,09:11:19,37.57,61.85,42,14,Gas
20210123,09:11:23,37.82,60.53,43,17,Gas
20210123,09:11:32,38.35,61.15,51,17,Gas
20210123,12:31:36,27.8,10.14,7,3,Gas
20210124,03:28:13,-32.81,151.22,19,9,Coal
20210124,07:06:15,21.73,94.62,4,2,Landfill/Urban
20210124,07:06:37,22.39,91.84,28,11,Landfill/Urban
20210124,07:06:51,23.18,90.99,21,15,Landfill/Urban
20210124,07:06:55,22.55,87.91,19,8,Gas
20210124,07:06:54,23.36,91.09,25,11,Landfill/Urban
20210124,07:07:06,23.9,90.28,100,34,Landfill/Urban
20210124,08:46:52,19.05,73.1,33,14,Gas
20210124,08:48:06,23.01,72.62,17,9,Oil
20210124,08:50:21,31.18,73.34,55,22,Landfill/Urban
20210124,10:33:10,34.79,40.83,13,4,Oil
20210124,10:33:22,36.18,41.01,9,3,Oil
20210124,12:13:06,27.97,9.97,17,8,Gas
20210125,06:48:27,23.92,90.3,157,82,Landfill/Urban
20210125,06:48:57,27.33,95.31,29,14,Oil
20210125,08:31:10,30.19,71.48,16,6,Landfill/Urban
20210125,08:31:24,31.42,74.32,32,29,Landfill/Urban
20210125,08:32:05,33.7,72.84,36,13,Landfill/Urban
20210125,08:32:12,33.99,71.8,11,6,Landfill/Urban
20210125,08:33:37,36.91,61.29,43,23,Oil
20210125,08:33:42,37.87,63.73,16,5,Oil
