date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,estimated_source_type,west,east,south,north
20210621,11:02:25,51.65,35.78,173,68,Gas,35.28,36.28,51.15,52.15
20210410,08:27:26,38.89,64.76,11,6,Gas,64.26,65.26,38.39,39.39
20210824,09:17:07,37.58,63.85,23,10,Gas,63.35,64.35,37.08,38.08
20211029,08:40:45,40.29,62.33,25,8,Gas,61.83,62.83,39.79,40.79
20211223,09:49:10,35.51,51.79,41,16,Gas,51.29,52.29,35.01,36.01
20210921,08:51:54,37.13,63.49,10,4,Gas,62.99,63.99,36.63,37.63
20210806,20:02:59,32.9,-104.5,17,6,Gas,-105.0,-104.0,32.4,33.4
20210409,08:41:01,21.3,72.91,21,12,Gas,72.41,73.41,20.8,21.8
20210610,09:23:59,40.01,60.97,7,3,Gas,60.47,61.47,39.51,40.51
20210802,09:29:37,37.35,61.82,59,22,Gas,61.32,62.32,36.85,37.85
20211008,10:19:08,53.67,41.8,14,5,Gas,41.3,42.3,53.17,54.17
20211211,10:14:19,35.28,51.6,26,18,Gas,51.1,52.1,34.78,35.78
20210916,18:55:26,40.3,-88.44,11,4,Gas,-88.94,-87.94,39.8,40.8
20210326,19:56:39,32.56,-94.11,37,21,Gas,-94.61,-93.61,32.06,33.06
20210727,04:44:49,58.48,107.02,27,13,Oil,106.52,107.52,57.98,58.98
20210316,19:44:38,33.53,-101.53,68,27,Oil,-102.03,-101.03,33.03,34.03
20210520,09:17:58,39.48,53.76,92,34,Oil,53.26,54.26,38.98,39.98
20210828,09:44:20,43.58,52.17,41,15,Oil,51.67,52.67,43.08,44.08
20211114,08:40:05,37.95,63.56,15,5,Oil,63.06,64.06,37.45,38.45
20210924,19:43:02,29.03,-98.38,19,8,Oil,-98.88,-97.88,28.53,29.53
20210924,09:37:00,39.87,53.75,122,48,Oil,53.25,54.25,39.37,40.37
20210306,09:25:47,43.71,52.87,61,19,Oil,52.37,53.37,43.21,44.21
20210111,09:36:45,37.73,53.95,91,57,Oil,53.45,54.45,37.23,38.23
20210923,20:01:49,29.01,-97.65,23,9,Oil,-98.15,-97.15,28.51,29.51
20211109,20:22:13,31.93,-101.87,49,20,Oil,-102.37,-101.37,31.43,32.43
20210301,09:18:09,38.41,54.1,157,52,Oil,53.6,54.6,37.91,38.91
20211020,08:03:59,22.31,73.23,11,4,Oil,72.73,73.73,21.81,22.81
20211016,09:23:26,36.35,61.71,55,18,Oil,61.21,62.21,35.85,36.85
20210902,09:48:59,38.34,54.03,56,26,Oil,53.53,54.53,37.84,38.84
20210401,19:44:25,32.51,-101.87,47,16,Oil,-102.37,-101.37,32.01,33.01
20210303,08:39:42,36.7,61.76,35,18,Oil,61.26,62.26,36.2,37.2
20210920,09:14:02,48.37,57.48,9,4,Oil,56.98,57.98,47.87,48.87
20210310,08:04:17,23.3,72.61,29,15,Oil,72.11,73.11,22.8,23.8
20210110,09:54:00,31.16,48.58,45,14,Oil,48.08,49.08,30.66,31.66
20210919,19:37:44,31.21,-103.23,37,14,Oil,-103.73,-102.73,30.71,31.71
20210825,20:48:41,35.98,-119.42,21,8,Oil,-119.92,-118.92,35.48,36.48
20211024,08:33:32,36.46,61.56,24,9,Oil,61.06,62.06,35.96,36.96
20211006,10:51:38,34.88,41.08,24,11,Oil,40.58,41.58,34.38,35.38
20211007,10:32:46,34.89,40.77,32,11,Oil,40.27,41.27,34.39,35.39
20210222,19:56:53,32.16,-101.98,71,24,Oil,-102.48,-101.48,31.659999999999997,32.66
20211123,09:13:32,43.49,52.95,37,20,Oil,52.45,53.45,42.99,43.99
20210831,05:28:42,58.53,107.27,51,27,Oil,106.77,107.77,58.03,59.03
20210814,09:04:04,36.06,62.38,124,43,Oil,61.88,62.88,35.56,36.56
