"","country","latitude","longitude","primary_fuel"
"232","ARG",-30.0102,-59.5321,"Oil"
"233","ARG",-34.627,-58.3382,"Gas"
"234","ARG",-37.2742,-69.652,"Gas"
"238","ARG",-28.6072,-65.1228,"Gas"
"240","ARG",-34.0364,-63.9217,"Gas"
"242","ARG",-29.1388,-59.2277,"Oil"
"243","ARG",-29.1388,-59.2277,"Gas"
"246","ARG",-33.2422,-62.3946,"Oil"
"247","ARG",-27.4252,-57.3341,"Oil"
"248","ARG",-27.5785,-56.6726,"Oil"
"251","ARG",-29.1762,-56.6394,"Oil"
"252","ARG",-34.889,-57.9206,"Gas"
"253","ARG",-29.3823,-66.8325,"Oil"
"254","ARG",-27.4184,-55.9097,"Gas"
"262","ARG",-33.0551,-68.981,"Gas"
"263","ARG",-36.7208,-63.1977,"Gas"
"264","ARG",-38.0495,-57.546,"Gas"
"266","ARG",-28.0441,-58.2285,"Oil"
"267","ARG",-29.1808,-58.0793,"Oil"
"268","ARG",-33.1608,-64.3656,"Gas"
"269","ARG",-38.5785,-58.7108,"Coal"
"274","ARG",-26.2072,-64.2477,"Oil"
"275","ARG",-34.5721,-58.3835,"Gas"
"276","ARG",-27.5019,-55.1245,"Gas"
"277","ARG",-38.6851,-59.7804,"Oil"
"286","ARG",-29.7148,-57.0933,"Oil"
"287","ARG",-45.7934,-67.5145,"Gas"
"288","ARG",-29.34,-58.6077,"Oil"
"290","ARG",-46.7842,-67.9498,"Gas"
"293","ARG",-31.6651,-63.8314,"Gas"
"294","ARG",-31.6662,-63.8344,"Coal"
"297","ARG",-31.5129,-68.5399,"Gas"
"299","ARG",-42.7069,-65.1048,"Gas"
"300","ARG",-34.5754,-58.3788,"Coal"
"304","ARG",-33.1614,-64.3649,"Gas"
"309","ARG",-31.4391,-62.1119,"Gas"
"310","ARG",-40.1511,-71.334,"Oil"
"311","ARG",-33.3562,-60.1729,"Coal"
"312","ARG",-26.6253,-54.1102,"Oil"
"314","ARG",-36.2314,-66.9381,"Oil"
"315","ARG",-28.5497,-56.0722,"Oil"
"316","ARG",-32.9053,-60.6807,"Coal"
"317","ARG",-31.463,-64.2388,"Gas"
"319","ARG",-22.5099,-63.797,"Gas"
"320","ARG",-33.3655,-60.1435,"Gas"
"321","ARG",-29.2352,-61.7577,"Oil"
"324","ARG",-33.7777,-61.9555,"Oil"
"325","ARG",-37.2487,-56.9973,"Gas"
"326","ARG",-39.0872,-67.0881,"Gas"
"327","ARG",-32.5807,-60.7903,"Gas"
"330","ARM",40.564,44.7479,"Gas"
"331","ARM",40.1152,44.4973,"Gas"
"336","ARM",40.1138,44.5038,"Gas"
"339","AUS",-34.5509,138.7659,"Oil"
"340","AUS",-34.5034,139.0246,"Oil"
"341","AUS",-38.3861,144.1828,"Coal"
"342","AUS",-13.8584,136.4209,"Oil"
"343","AUS",-34.2082,150.7722,"Gas"
"345","AUS",-16.7162,128.4031,"Oil"
"346","AUS",-37.8429,147.5639,"Gas"
"347","AUS",-37.5596,143.8469,"Gas"
"349","AUS",-33.9197,151.0332,"Oil"
"351","AUS",-23.5525,145.3142,"Gas"
"356","AUS",-32.3953,150.9491,"Coal"
"358","AUS",-41.1429,146.903,"Gas"
"360","AUS",-12.4262,130.9195,"Gas"
"363","AUS",-18.6816,121.7848,"Oil"
"366","AUS",-36.3164,140.7575,"Oil"
"371","AUS",-27.1109,150.9053,"Gas"
"372","AUS",-27.1128,150.9049,"Gas"
"373","AUS",-34.4018,119.3888,"Oil"
"374","AUS",-23.8817,133.8281,"Gas"
"378","AUS",-31.9863,141.4203,"Gas"
"381","AUS",-17.981,122.2046,"Gas"
"384","AUS",-27.4036,153.1363,"Gas"
