"","country","latitude","longitude","primary_fuel"
"1221","BRA",-5.0321,-42.4358,"Oil"
"1222","BRA",-2.7028,-44.3415,"Coal"
"1223","BRA",-1.5374,-48.723,"Coal"
"1224","BRA",-3.2293,-64.7739,"Oil"
"1230","BRA",0.0124,-51.072,"Oil"
"1231","BRA",-3.3668,-68.1866,"Oil"
"1237","BRA",-3.5514,-61.4128,"Gas"
"1243","BRA",-3.7068,-61.6518,"Gas"
"1248","BRA",-3.1257,-60.0233,"Oil"
"1249","BRA",-3.1257,-60.0233,"Oil"
"1250","BRA",-3.1257,-60.0281,"Oil"
"1251","BRA",-9.5527,-57.3722,"Oil"
"1256","BRA",-7.1985,-59.8775,"Oil"
"1259","BRA",-4.5491,-37.7605,"Oil"
"1261","BRA",-16.639,-49.2653,"Oil"
"1264","BRA",-22.3661,-47.3713,"Oil"
"1265","BRA",-22.3622,-47.3715,"Oil"
"1267","BRA",-25.5843,-49.3464,"Gas"
"1273","BRA",-12.6863,-38.2925,"Oil"
"1288","BRA",-3.7817,-38.5182,"Gas"
"1290","BRA",-12.7641,-38.3913,"Oil"
"1291","BRA",-1.413,-48.4363,"Oil"
"1292","BRA",-10.9428,-69.5747,"Oil"
"1294","BRA",-29.6743,-51.1211,"Oil"
"1299","BRA",-23.5773,-46.5918,"Oil"
"1300","BRA",-23.492,-46.4467,"Oil"
"1301","BRA",-23.5252,-46.5762,"Oil"
"1302","BRA",-15.7318,-47.8961,"Oil"
"1303","BRA",-15.6109,-56.0933,"Oil"
"1304","BRA",-15.7942,-47.8822,"Oil"
"1305","BRA",-10.907,-37.0625,"Gas"
"1306","BRA",-4.3316,-70.1461,"Oil"
"1318","BRA",-19.9866,-44.0889,"Gas"
"1319","BRA",-3.5755,-59.1233,"Oil"
"1322","BRA",-20.5355,-43.6986,"Coal"
"1323","BRA",-23.6832,-46.5575,"Oil"
"1324","BRA",-23.7455,-46.5528,"Oil"
"1325","BRA",-23.1388,-47.2372,"Oil"
"1326","BRA",-23.2702,-45.9644,"Oil"
"1327","BRA",-23.6768,-46.6822,"Oil"
"1329","BRA",-26.8842,-49.2004,"Oil"
"1330","BRA",-29.2243,-51.3489,"Oil"
"1331","BRA",-29.2271,-51.3486,"Oil"
"1333","BRA",-1.4518,-48.495,"Oil"
"1334","BRA",-15.7924,-47.8797,"Oil"
"1335","BRA",-22.8967,-47.2036,"Oil"
"1336","BRA",-1.8932,-50.2016,"Oil"
"1338","BRA",-12.6616,-38.3255,"Oil"
"1344","BRA",-22.7183,-43.6335,"Gas"
"1348","BRA",-23.5435,-46.6265,"Oil"
"1352","BRA",-22.8749,-43.4578,"Gas"
"1355","BRA",-22.7155,-43.6378,"Gas"
"1356","BRA",-0.963,-62.9241,"Oil"
"1372","BRA",-22.7766,-45.1595,"Oil"
"1373","BRA",-22.843,-45.2205,"Oil"
"1377","BRA",-4.3246,-38.8755,"Oil"
"1378","BRA",-23.544,-46.6265,"Gas"
"1381","BRA",-21.1426,-47.8215,"Oil"
"1385","BRA",-10.0055,-67.7205,"Oil"
